"All locales","All locales"
"All stores","All stores"
"Apply","Apply"
"Back to Assess Rated Queries","Back to Assess Rated Queries"
"candidates evaluated","candidates evaluated"
"Current Saturation Point (k)","Current Saturation Point (k)"
"Evaluate now","Evaluate now"
"Every parameter is pinned -- there would be nothing left to search. Leave at least one checked.","Every parameter is pinned -- there would be nothing left to search. Leave at least one checked."
"Loading...","Loading..."
"Locale","Locale"
"of up to","of up to"
"Parameters","Parameters"
"Restore","Restore"
"Run now","Run now"
"Saturation Point Calibration","Saturation Point Calibration"
"Save","Save"
"Search Ranking Saturation Point Calibration","Search Ranking Saturation Point Calibration"
"search terms processed","search terms processed"
"Start","Start"
"Start New Saturation Point Calibration Run","Start New Saturation Point Calibration Run"
"Store","Store"
"Take checkpoint now","Take checkpoint now"
"Upload","Upload"
