abstract_sku,concrete_sku,price_type,store,currency,value_net,value_gross,price_data.volume_prices
DEMO-CHR-001,,DEFAULT,DE,EUR,9649,11482,
DEMO-CHR-002,,DEFAULT,DE,EUR,10239,12185,
DEMO-CHR-003,,DEFAULT,DE,EUR,24174,28767,
DEMO-CHR-004,,DEFAULT,DE,EUR,26476,31506,
DEMO-CHR-005,,DEFAULT,DE,EUR,37835,45024,
DEMO-CHR-006,,DEFAULT,DE,EUR,28162,33513,
DEMO-CHR-007,,DEFAULT,DE,EUR,14364,17093,
DEMO-CHR-008,,DEFAULT,DE,EUR,20029,23834,
DEMO-CHR-009,,DEFAULT,DE,EUR,8223,9785,
DEMO-CHR-010,,DEFAULT,DE,EUR,9782,11641,
DEMO-WHS-001,,DEFAULT,DE,EUR,7555,8990,
DEMO-OFF-001,,DEFAULT,DE,EUR,12597,14990,
