abstract_sku,concrete_sku,name.de_DE,name.en_US,description.de_DE,description.en_US,is_searchable.de_DE,is_searchable.en_US,bundled,is_quantity_splittable,attribute_key_1,value_1,attribute_key_1.de_DE,value_1.de_DE,attribute_key_1.en_US,value_1.en_US,attribute_key_2,value_2,attribute_key_2.de_DE,value_2.de_DE,attribute_key_2.en_US,value_2.en_US,is_active
DEMO-CHR-001,DEMO-CHR-001-1,"Feldwerk Stapelstuhl, 4-Fuß-Gestell - anthrazit","Feldwerk stacking chair, 4-leg frame - anthracite","Feldwerk Stapelstuhl mit pulverbeschichtetem 4-Fuß-Stahlgestell und anthrazitfarbener Schale. Bis zu 8 Stühle stapelbar für platzsparende Lagerung zwischen Konferenzen.","Feldwerk stacking chair with a powder-coated 4-leg steel frame and anthracite shell. Stackable up to 8 chairs high for compact storage between conference sessions.",1,1,,,,,,,,,,,,,,,1
DEMO-CHR-002,DEMO-CHR-002-1,"Feldwerk Stapelstuhl, gepolsterter Sitz - blau","Feldwerk stacking chair, upholstered seat - blue","Feldwerk Stapelstuhl mit gepolstertem Sitzkissen aus blauem Stoff, Freischwinger-Komfort auf stapelbarem Gestell.","Feldwerk stacking chair with an upholstered seat pad in blue fabric, cantilever-style comfort on a stackable frame.",1,1,,,,,,,,,,,,,,,1
DEMO-CHR-003,DEMO-CHR-003-1,"Feldwerk Konferenzstuhl, Freischwinger-Gestell - graphit","Feldwerk conference chair, cantilever frame - graphite","Feldwerk Konferenzstuhl auf Freischwinger-Gestell mit graphitgrauer Schale, ausgelegt für lange Besprechungen ohne Drehfuß.","Feldwerk conference chair on a cantilever frame with a graphite-grey shell, designed for long meetings without a swivel base.",1,1,,,,,,,,,,,,,,,1
DEMO-CHR-004,DEMO-CHR-004-1,"Feldwerk ergonomischer Schreibtischstuhl, verstellbare Lordosenstütze - schwarz","Feldwerk ergonomic desk chair, adjustable lumbar support - black","Feldwerk ergonomischer Schreibtischstuhl mit verstellbarer Lordosenstütze, Sitztiefe und Armlehnen. Für ganztägige Schreibtischarbeit ausgelegt.","Feldwerk ergonomic desk chair with adjustable lumbar support, seat depth and armrests. Built for full-day desk work.",1,1,,,,,,,,,,,,,,,1
DEMO-CHR-005,DEMO-CHR-005-1,"Feldwerk ergonomischer Schreibtischstuhl, Netzrücken - grau","Feldwerk ergonomic desk chair, mesh back - grey","Feldwerk ergonomischer Schreibtischstuhl mit atmungsaktivem Netzrücken und Synchronmechanik.","Feldwerk ergonomic desk chair with a breathable mesh backrest and synchronous tilt mechanism.",1,1,,,,,,,,,,,,,,,1
DEMO-CHR-006,DEMO-CHR-006-1,"Feldwerk Chefsessel, Leder-Optik - schwarz","Feldwerk executive swivel chair, leather-look - black","Feldwerk Chefsessel in schwarzer Leder-Optik, mit hoher Rückenlehne und gepolsterten Armlehnen.","Feldwerk executive swivel chair upholstered in black leather-look material, with a high backrest and padded armrests.",1,1,,,,,,,,,,,,,,,1
DEMO-CHR-007,DEMO-CHR-007-1,"Feldwerk Besucherstuhl, stapelbar, gepolstert - rot","Feldwerk visitor chair, stackable, upholstered - red","Feldwerk Besucherstuhl mit gepolstertem rotem Sitz und Rückenlehne, stapelbares Gestell für flexible Bestuhlung im Empfangsbereich.","Feldwerk visitor chair with an upholstered red seat and backrest, stackable frame for flexible seating in reception areas.",1,1,,,,,,,,,,,,,,,1
DEMO-CHR-008,DEMO-CHR-008-1,"Feldwerk Holzschalenstuhl, Buche furniert - natur","Feldwerk wood shell chair, beech veneer - natural","Feldwerk Schalenstuhl aus natur furnierter Buche, eine leichte einteilige Sitzschale auf schlankem Gestell.","Feldwerk shell chair in natural beech veneer, a lightweight one-piece seat shell on a slim frame.",1,1,,,,,,,,,,,,,,,1
DEMO-CHR-009,DEMO-CHR-009-1,"Feldwerk Standard-Drehstuhl, ohne Armlehnen - grau","Feldwerk standard swivel chair, without armrests - grey","Feldwerk Einstiegs-Drehstuhl ohne Armlehnen, höhenverstellbare Gasfeder, grauer Stoffsitz.","Feldwerk entry-level swivel chair without armrests, height-adjustable gas lift, grey fabric seat.",1,1,,,,,,,,,,,,,,,1
DEMO-CHR-010,DEMO-CHR-010-1,"Feldwerk Kunststoffschalenstuhl, Chromgestell - weiß","Feldwerk plastic shell chair, chrome frame - white","Feldwerk Kunststoffschalenstuhl in weiß auf Chrom-Kufengestell, leicht abwischbar und stapelbar.","Feldwerk plastic shell chair in white on a chrome sled frame, easy to wipe down and stack.",1,1,,,,,,,,,,,,,,,1
DEMO-WHS-001,DEMO-WHS-001-1,"Feldwerk klappbare Sackkarre - Tragfähigkeit 100 kg","Feldwerk folding hand trolley - load capacity 100 kg","Feldwerk klappbare Sackkarre mit einer Tragfähigkeit von 100 kg, pannensicheren Rädern und klappbarer Ladefläche für platzsparende Lagerung.","Feldwerk folding hand trolley with a load capacity of 100 kg, puncture-proof wheels and a folding platform for compact storage.",1,1,,,,,,,,,,,,,,,1
DEMO-OFF-001,DEMO-OFF-001-1,"Feldwerk Tisch-Aktenvernichter - Multifunktionstaste, Auto-Reversierung","Feldwerk desktop paper shredder - multi-function button, auto-reverse","Feldwerk Tisch-Aktenvernichter mit Multifunktionstaste, automatischer Reversierung bei Papierstau und energiesparendem Abschaltmodus. Zwei Minuten nach Gebrauch schaltet das Gerät in den Standby, nach einer Stunde schaltet es komplett aus.","Feldwerk desktop paper shredder with a multi-function button, automatic reversing in case of paper jam, and an energy-saving switch-off mode. Two minutes after use the device switches into standby; after one hour it switches off completely.",1,1,,,,,,,,,,,,,,,1
