category_key,category_product_order,abstract_sku,tax_set_name,name.de_DE,name.en_US,description.de_DE,description.en_US,url.de_DE,url.en_US,meta_title.de_DE,meta_title.en_US,meta_keywords.de_DE,meta_keywords.en_US,meta_description.de_DE,meta_description.en_US,attribute_key_1,value_1,attribute_key_1.de_DE,value_1.de_DE,attribute_key_1.en_US,value_1.en_US,attribute_key_2,value_2,attribute_key_2.de_DE,value_2.de_DE,attribute_key_2.en_US,value_2.en_US,attribute_key_3,value_3,attribute_key_3.de_DE,value_3.de_DE,attribute_key_3.en_US,value_3.en_US,attribute_key_4,value_4,attribute_key_4.de_DE,value_4.de_DE,attribute_key_4.en_US,value_4.en_US,attribute_key_5,value_5,attribute_key_5.de_DE,value_5.de_DE,attribute_key_5.en_US,value_5.en_US,attribute_key_6,value_6,attribute_key_6.de_DE,value_6.de_DE,attribute_key_6.en_US,value_6.en_US,color_code,new_from,new_to,attribute_key_7,value_7,attribute_key_7.de_DE,value_7.de_DE,attribute_key_7.en_US,value_7.en_US,attribute_key_8,value_8,attribute_key_8.de_DE,value_8.de_DE,attribute_key_8.en_US,value_8.en_US
1002577-cer,0,DEMO-CHR-001,"Standard Taxes","Feldwerk Stapelstuhl, 4-Fuß-Gestell - anthrazit","Feldwerk stacking chair, 4-leg frame - anthracite","Feldwerk Stapelstuhl mit pulverbeschichtetem 4-Fuß-Stahlgestell und anthrazitfarbener Schale. Bis zu 8 Stühle stapelbar für platzsparende Lagerung zwischen Konferenzen.","Feldwerk stacking chair with a powder-coated 4-leg steel frame and anthracite shell. Stackable up to 8 chairs high for compact storage between conference sessions.",/de/feldwerk-stapelstuhl-4-fu-gestell-anthrazit-demo-chr-001,/en/feldwerk-stacking-chair-4-leg-frame-anthracite-demo-chr-001,,,,,,,brand,Feldwerk,brand,Feldwerk,brand,Feldwerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002577-cer,0,DEMO-CHR-002,"Standard Taxes","Feldwerk Stapelstuhl, gepolsterter Sitz - blau","Feldwerk stacking chair, upholstered seat - blue","Feldwerk Stapelstuhl mit gepolstertem Sitzkissen aus blauem Stoff, Freischwinger-Komfort auf stapelbarem Gestell.","Feldwerk stacking chair with an upholstered seat pad in blue fabric, cantilever-style comfort on a stackable frame.",/de/feldwerk-stapelstuhl-gepolsterter-sitz-blau-demo-chr-002,/en/feldwerk-stacking-chair-upholstered-seat-blue-demo-chr-002,,,,,,,brand,Feldwerk,brand,Feldwerk,brand,Feldwerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002577-cer,0,DEMO-CHR-003,"Standard Taxes","Feldwerk Konferenzstuhl, Freischwinger-Gestell - graphit","Feldwerk conference chair, cantilever frame - graphite","Feldwerk Konferenzstuhl auf Freischwinger-Gestell mit graphitgrauer Schale, ausgelegt für lange Besprechungen ohne Drehfuß.","Feldwerk conference chair on a cantilever frame with a graphite-grey shell, designed for long meetings without a swivel base.",/de/feldwerk-konferenzstuhl-freischwinger-gestell-graphit-demo-chr-003,/en/feldwerk-conference-chair-cantilever-frame-graphite-demo-chr-003,,,,,,,brand,Feldwerk,brand,Feldwerk,brand,Feldwerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002577-cer,0,DEMO-CHR-004,"Standard Taxes","Feldwerk ergonomischer Schreibtischstuhl, verstellbare Lordosenstütze - schwarz","Feldwerk ergonomic desk chair, adjustable lumbar support - black","Feldwerk ergonomischer Schreibtischstuhl mit verstellbarer Lordosenstütze, Sitztiefe und Armlehnen. Für ganztägige Schreibtischarbeit ausgelegt.","Feldwerk ergonomic desk chair with adjustable lumbar support, seat depth and armrests. Built for full-day desk work.",/de/feldwerk-ergonomischer-schreibtischstuhl-verstellbare-lordosenst-tze-schwarz-demo-chr-004,/en/feldwerk-ergonomic-desk-chair-adjustable-lumbar-support-black-demo-chr-004,,,,,,,brand,Feldwerk,brand,Feldwerk,brand,Feldwerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002577-cer,0,DEMO-CHR-005,"Standard Taxes","Feldwerk ergonomischer Schreibtischstuhl, Netzrücken - grau","Feldwerk ergonomic desk chair, mesh back - grey","Feldwerk ergonomischer Schreibtischstuhl mit atmungsaktivem Netzrücken und Synchronmechanik.","Feldwerk ergonomic desk chair with a breathable mesh backrest and synchronous tilt mechanism.",/de/feldwerk-ergonomischer-schreibtischstuhl-netzr-cken-grau-demo-chr-005,/en/feldwerk-ergonomic-desk-chair-mesh-back-grey-demo-chr-005,,,,,,,brand,Feldwerk,brand,Feldwerk,brand,Feldwerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002577-cer,0,DEMO-CHR-006,"Standard Taxes","Feldwerk Chefsessel, Leder-Optik - schwarz","Feldwerk executive swivel chair, leather-look - black","Feldwerk Chefsessel in schwarzer Leder-Optik, mit hoher Rückenlehne und gepolsterten Armlehnen.","Feldwerk executive swivel chair upholstered in black leather-look material, with a high backrest and padded armrests.",/de/feldwerk-chefsessel-leder-optik-schwarz-demo-chr-006,/en/feldwerk-executive-swivel-chair-leather-look-black-demo-chr-006,,,,,,,brand,Feldwerk,brand,Feldwerk,brand,Feldwerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002577-cer,0,DEMO-CHR-007,"Standard Taxes","Feldwerk Besucherstuhl, stapelbar, gepolstert - rot","Feldwerk visitor chair, stackable, upholstered - red","Feldwerk Besucherstuhl mit gepolstertem rotem Sitz und Rückenlehne, stapelbares Gestell für flexible Bestuhlung im Empfangsbereich.","Feldwerk visitor chair with an upholstered red seat and backrest, stackable frame for flexible seating in reception areas.",/de/feldwerk-besucherstuhl-stapelbar-gepolstert-rot-demo-chr-007,/en/feldwerk-visitor-chair-stackable-upholstered-red-demo-chr-007,,,,,,,brand,Feldwerk,brand,Feldwerk,brand,Feldwerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002577-cer,0,DEMO-CHR-008,"Standard Taxes","Feldwerk Holzschalenstuhl, Buche furniert - natur","Feldwerk wood shell chair, beech veneer - natural","Feldwerk Schalenstuhl aus natur furnierter Buche, eine leichte einteilige Sitzschale auf schlankem Gestell.","Feldwerk shell chair in natural beech veneer, a lightweight one-piece seat shell on a slim frame.",/de/feldwerk-holzschalenstuhl-buche-furniert-natur-demo-chr-008,/en/feldwerk-wood-shell-chair-beech-veneer-natural-demo-chr-008,,,,,,,brand,Feldwerk,brand,Feldwerk,brand,Feldwerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002577-cer,0,DEMO-CHR-009,"Standard Taxes","Feldwerk Standard-Drehstuhl, ohne Armlehnen - grau","Feldwerk standard swivel chair, without armrests - grey","Feldwerk Einstiegs-Drehstuhl ohne Armlehnen, höhenverstellbare Gasfeder, grauer Stoffsitz.","Feldwerk entry-level swivel chair without armrests, height-adjustable gas lift, grey fabric seat.",/de/feldwerk-standard-drehstuhl-ohne-armlehnen-grau-demo-chr-009,/en/feldwerk-standard-swivel-chair-without-armrests-grey-demo-chr-009,,,,,,,brand,Feldwerk,brand,Feldwerk,brand,Feldwerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002577-cer,0,DEMO-CHR-010,"Standard Taxes","Feldwerk Kunststoffschalenstuhl, Chromgestell - weiß","Feldwerk plastic shell chair, chrome frame - white","Feldwerk Kunststoffschalenstuhl in weiß auf Chrom-Kufengestell, leicht abwischbar und stapelbar.","Feldwerk plastic shell chair in white on a chrome sled frame, easy to wipe down and stack.",/de/feldwerk-kunststoffschalenstuhl-chromgestell-wei-demo-chr-010,/en/feldwerk-plastic-shell-chair-chrome-frame-white-demo-chr-010,,,,,,,brand,Feldwerk,brand,Feldwerk,brand,Feldwerk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
