"All locales","Alle Sprachen"
"All stores","Alle Stores"
"Apply","Anwenden"
"Back to Assess Rated Queries","Zurück zu den bewerteten Suchanfragen"
"candidates evaluated","Kandidaten ausgewertet"
"Current Saturation Point (k)","Aktueller Sättigungspunkt (k)"
"Evaluate now","Jetzt auswerten"
"Every parameter is pinned -- there would be nothing left to search. Leave at least one checked.","Alle Parameter sind fixiert -- es bliebe nichts mehr zu durchsuchen. Lass mindestens einen angehakt."
"Loading...","Wird geladen..."
"Locale","Sprache"
"of up to","von bis zu"
"Parameters","Parameter"
"Restore","Wiederherstellen"
"Run now","Jetzt ausführen"
"Saturation Point Calibration","Sättigungspunkt-Kalibrierung"
"Save","Speichern"
"Search Ranking Saturation Point Calibration","Suchranking-Sättigungspunkt-Kalibrierung"
"search terms processed","Suchbegriffe verarbeitet"
"Start","Starten"
"Start New Saturation Point Calibration Run","Neuen Sättigungspunkt-Kalibrierungslauf starten"
"Store","Store"
"Take checkpoint now","Jetzt Checkpoint anlegen"
"Upload","Hochladen"
